Citations,Reference,Name of Tool
14,2 - 3 - 5 - 6 - 7 - 8 - 9 - 10 - 13 - 14 - 15 - 16 - 18 - 20,Appium
10,2 - 3 - 5 - 8 - 10 - 13 - 15 - 16 - 18 -19 - 20,Unity Test Framework 
8,2 - 3 - 5 - 6 - 7 - 10 - 15 - 16,Selenium
7,2 - 5 - 8 - 13 - 15 - 16 - 18,Unreal Automation Test
7,2 - 3 - 7 - 8 - 10 - 15 - 17,TestComplete
4,1 - 6 - 8 - 10,Game Driver
3,2 - 9 - 11 - 20,AltTester
3,3 - 7 - 15,Jenkins
2,1- 9,Airtest
2,5 - 16,LumberYard Test Tools
1,1,Sikuli
1,1,Zap Test
1,1,Poco Driver
1,1,AutoHotkey
1,1,Pulover’s Macro Creator
1,1,X-Mouse Button Control
1,1,Unium
1,2,Test Sigma
1,4,modl:test
1,7,LoadRunner
1,7,Applitools
1,7,Cucumber
1,9,Repeato
1,9,Kobiton
1,9,TestRigor
1,9,Perfecto
1,9,TestGrid
1,10,T-Plan Robot
1,12,Unity Game Simulation
1,14,LambdaTest
